Tesla,DiasSemana,Cierre,Apertura,Máximo,Mínimo,Var.%,Apple,Cierre_Apple,Apertura_Apple,Máximo_Apple,Mínimo_Apple,Var.%_Apple,Microsoft,Cierre_Microsoft,Apertura_Microsoft,Máximo_Microsoft,Mínimo_Microsoft,Var.%_Microsoft,Nasdaq,Cierre_Nasdaq,Apertura_Nasdaq,Máximo_Nasdaq,Mínimo_Nasdaq,Var.%_Nasdaq,Oro,Cierre_Oro,Apertura_Oro,Máximo_Oro,Mínimo_Oro,Var.%_Oro,Bitcoin,Cierre_Bitcoin,Apertura_Bitcoin,Máximo_Bitcoin,Mínimo_Bitcoin,Var.%_Bitcoin
TSLA,Monday,1.46,1.42,1.48,1.39,5.8,AAPL,8.77,8.92,8.92,8.56,-1.68,MSFT,25.23,24.96,25.3,24.91,1.37,NASDAQ,1819.28,1807.99,1822.71,1794.56,0.88,XAU/USD,1183.7,1193.2,1195.1,1177.65,-0.83,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Tuesday,1.35,1.46,1.46,1.34,-7.53,AAPL,9.0,8.67,9.03,8.57,2.62,MSFT,25.48,24.86,25.48,24.7,0.99,NASDAQ,1840.67,1789.93,1841.16,1784.55,1.18,XAU/USD,1192.3,1184.65,1194.3,1175.85,0.73,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Wednesday,1.35,1.38,1.39,1.3,0.0,AAPL,9.08,9.47,9.47,9.07,0.89,MSFT,25.12,25.6,25.65,24.98,-1.41,NASDAQ,1817.3,1859.6,1859.85,1813.28,-1.27,XAU/USD,1186.0,1191.4,1198.05,1183.35,-0.53,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Thursday,1.4,1.37,1.42,1.36,3.7,AAPL,9.25,9.2,9.29,9.12,1.87,MSFT,25.84,25.51,25.99,25.47,2.87,NASDAQ,1863.1,1842.38,1870.41,1842.38,2.52,XAU/USD,1194.95,1184.9,1200.6,1181.05,0.75,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Friday,1.42,1.41,1.44,1.4,1.43,AAPL,9.28,9.18,9.3,9.15,0.32,MSFT,25.81,25.84,26.02,25.25,-0.12,NASDAQ,1875.38,1851.81,1875.38,1846.32,0.66,XAU/USD,1189.1,1195.05,1203.95,1183.81,-0.49,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Monday,1.4,1.43,1.43,1.35,-1.41,AAPL,9.26,9.29,9.29,9.2,-0.22,MSFT,26.1,25.86,26.2,25.8,1.12,NASDAQ,1890.4,1875.77,1890.4,1867.84,0.8,XAU/USD,1182.5,1189.25,1195.3,1179.65,-0.56,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Tuesday,1.37,1.39,1.41,1.35,-2.14,AAPL,9.43,9.32,9.46,9.3,1.84,MSFT,26.16,26.14,26.24,25.96,0.23,NASDAQ,1888.81,1899.13,1900.15,1880.22,-0.08,XAU/USD,1162.3,1181.9,1187.75,1158.15,-1.71,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Wednesday,1.38,1.37,1.39,1.37,0.73,AAPL,9.32,9.42,9.5,9.29,-1.17,MSFT,25.95,26.07,26.19,25.83,-0.8,NASDAQ,1872.62,1887.46,1894.69,1866.68,-0.86,XAU/USD,1163.55,1162.5,1166.35,1157.4,0.11,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Thursday,1.36,1.38,1.39,1.33,-1.45,AAPL,9.22,9.31,9.38,9.15,-1.07,MSFT,26.03,26.13,26.41,25.6,0.31,NASDAQ,1860.3,1884.07,1887.41,1841.36,-0.66,XAU/USD,1166.93,1163.5,1169.8,1159.65,0.29,BTC/USD,0.1,0.1,0.1,0.1,0.0
TSLA,Friday,1.33,1.35,1.36,1.3,-2.21,AAPL,9.19,9.14,9.27,9.1,-0.33,MSFT,25.81,25.75,25.84,25.35,-0.85,NASDAQ,1864.0,1842.33,1874.64,1833.9,0.2,XAU/USD,1180.9,1167.35,1183.95,1166.0,1.2,BTC/USD,0.1,0.1,0.1,0.1,0.0
